,0,1,2,3,4,5,6,7,8,9,10
0,0.0048,0.0146,0.0289,0.0142,0.0064,0.0232,0.0162,0.0242,0.0341,0.0375,0.0144
1,0.0072,0.0148,0.035,0.0174,0.0084,0.024,0.0201,0.0338,0.0434,0.0381,0.0162
2,0.004,0.0101,0.0267,0.0124,0.0049,0.017,0.0127,0.0255,0.0332,0.0309,0.0122
3,0.0039,0.006,0.0218,0.009,0.0029,0.0118,0.0088,0.0163,0.0211,0.0199,0.0077
4,0.0042,0.0055,0.0191,0.0082,0.0024,0.0095,0.0064,0.0087,0.0144,0.0226,0.0055
5,0.004,0.0071,0.0213,0.0106,0.0038,0.0093,0.0076,0.0066,0.0113,0.0216,0.0065
6,0.0044,0.0089,0.0259,0.0137,0.0073,0.0105,0.0101,0.0086,0.0138,0.0184,0.0092
7,0.0042,0.01,0.0249,0.0155,0.0049,0.0132,0.0137,0.0105,0.0187,0.0216,0.0105
8,0.0086,0.0123,0.0288,0.0181,0.006,0.0158,0.0159,0.0111,0.0224,0.025,0.0115
9,0.0223,0.0177,0.0359,0.0245,0.0084,0.0193,0.0234,0.0169,0.0309,0.0336,0.0269
10,0.0327,0.0236,0.0465,0.0375,0.0106,0.0276,0.0327,0.0265,0.0406,0.0438,0.0557
11,0.0409,0.0298,0.0535,0.0448,0.0127,0.0331,0.0398,0.0335,0.0536,0.0501,0.0561
12,0.0451,0.0329,0.0605,0.0507,0.0153,0.0353,0.0421,0.0353,0.0612,0.0539,0.055
13,0.0462,0.0335,0.0654,0.0538,0.0173,0.04,0.0445,0.0414,0.0622,0.0591,0.0358
14,0.0498,0.0361,0.0681,0.0531,0.0162,0.042,0.0435,0.0428,0.0683,0.0547,0.0433
15,0.0437,0.0325,0.0686,0.0438,0.0165,0.0413,0.0392,0.0446,0.0657,0.0503,0.0625
16,0.0437,0.0,0.0889,0.0,0.0151,0.0068,0.039,0.0465,0.0636,0.0509,0.0531
17,0.0407,0.0,0.1354,0.0,0.0135,0.0068,0.0352,0.044,0.0619,0.0497,0.0372
18,0.0377,0.0,0.0529,0.0,0.0133,0.0068,0.0311,0.0422,0.057,0.0515,0.0354
19,0.0295,0.0,0.0445,0.0,0.0105,0.0068,0.0294,0.0387,0.0491,0.0416,0.0335
20,0.0259,0.0,0.0403,0.0,0.0101,0.0068,0.0265,0.031,0.044,0.0387,0.028
21,0.0136,0.0,0.0357,0.0,0.0084,0.0068,0.022,0.0299,0.0412,0.0364,0.0237
22,0.0082,0.0,0.0282,0.0,0.0072,0.0068,0.0197,0.0225,0.0336,0.0371,0.0197
23,0.0039,0.0,0.0183,0.0,0.0043,0.0068,0.0125,0.016,0.0258,0.0252,0.0122
24,0.0039,0.0,0.0124,0.0,0.002,0.0068,0.0089,0.0111,0.0157,0.0219,0.0097
25,0.004,0.0,0.0112,0.0,0.0018,0.0068,0.0068,0.0066,0.0102,0.0212,0.0067
26,0.0038,0.0,0.012,0.0,0.0012,0.0068,0.0057,0.0047,0.0087,0.0232,0.0056
27,0.0037,0.0,0.0123,0.0,0.0026,0.0068,0.0071,0.0032,0.0069,0.0239,0.0059
28,0.0041,0.0,0.0215,0.0,0.0049,0.0068,0.0084,0.003,0.0079,0.0212,0.0106
29,0.0226,0.0,0.0411,0.0,0.0179,0.0068,0.0145,0.0067,0.0151,0.021,0.018
30,0.0429,0.0,0.0591,0.0,0.0314,0.0068,0.0273,0.0116,0.0257,0.0277,0.0272
31,0.0422,0.0,0.0598,0.0,0.0372,0.0068,0.0409,0.0188,0.0366,0.0383,0.0384
32,0.0453,0.0,0.0677,0.0,0.034,0.0068,0.0509,0.0251,0.0432,0.044,0.0373
33,0.0549,0.0,0.0682,0.0,0.0319,0.0068,0.0567,0.0285,0.0501,0.0527,0.0386
34,0.0577,0.0,0.0754,0.0,0.0287,0.0068,0.0578,0.0351,0.0621,0.0587,0.0437
35,0.0614,0.0485,0.0902,0.0681,0.025,0.0455,0.0628,0.0392,0.0727,0.0648,0.048
36,0.0658,0.0489,0.0864,0.0703,0.0199,0.052,0.0591,0.0518,0.0776,0.0742,0.0448
37,0.063,0.0483,0.085,0.0704,0.0179,0.0539,0.0609,0.0512,0.0811,0.0739,0.0455
38,0.0652,0.0443,0.1367,0.0668,0.0189,0.0616,0.0598,0.0597,0.0942,0.0772,0.0459
39,0.0649,0.0435,0.1608,0.0613,0.0192,0.0689,0.0734,0.0658,0.134,0.0908,0.0439
40,0.064,0.0419,0.1728,0.0634,0.0184,0.0676,0.0686,0.0665,0.1118,0.0888,0.0478
41,0.0608,0.0443,0.1763,0.0648,0.0179,0.072,0.0645,0.0721,0.0891,0.0871,0.0491
42,0.0473,0.0391,0.1871,0.0543,0.0209,0.057,0.0508,0.0565,0.0881,0.0735,0.0439
